,BLDG_IRN,NAME,YEAR,DIVISION,GENDER,TYPE,PLACE,POPULATION
263,41046,Whitmer High School,2021,1,B,Regional,-1,2203
264,28217,Oak Hills High School,2021,1,B,District,4,2260
265,28217,Oak Hills High School,2021,1,B,Regional,16,2260
266,20883,Lincoln High School,2021,1,B,District,3,2323
267,20883,Lincoln High School,2021,1,B,Regional,11,2323
268,18929,Kettering Fairmont High School,2021,1,B,District,7,2399
269,18929,Kettering Fairmont High School,2021,1,B,Regional,13,2399
270,24281,Mentor High School,2021,1,B,District,2,2521
271,24281,Mentor High School,2021,1,B,Regional,7,2521
272,24281,Mentor High School,2021,1,B,State,10,2521
273,123836,Lakota East High School,2021,1,B,District,2,2550
274,123836,Lakota East High School,2021,1,B,Regional,14,2550
275,19737,Lakota West High School,2021,1,B,District,3,2643
276,19737,Lakota West High School,2021,1,B,Regional,17,2643
277,5322,Centerville High School,2021,1,B,District,1,2694
278,5322,Centerville High School,2021,1,B,Regional,5,2694
279,5322,Centerville High School,2021,1,B,State,15,2694
280,41376,William Mason High School,2021,1,B,District,1,3418
281,41376,William Mason High School,2021,1,B,Regional,1,3418
282,41376,William Mason High School,2021,1,B,State,1,3418
